"variable_name","value_type"
"_315906","Numeric"
"_315908","Numeric"
"_315910","Categorical"
"_315942","Categorical"
"_315967","Categorical"
"_316200","Categorical"
"_316204","Numeric"
"_316207","Numeric"
"_316214","Numeric"
"_316465","Categorical"
"_316466","Categorical"
"_316467","Categorical"
"_316468","Categorical"
"_316469","Categorical"
"_316470","Categorical"
"_316471","Categorical"
"_316472","Categorical"
"_316473","Categorical"
"_316474","Categorical"
"_316475","Categorical"
"_316476","Categorical"
"_316477","Categorical"
"_316478","Categorical"
"_316479","Categorical"
"_316480","Categorical"
"_316497","Numeric"
"_316509","Categorical"
"_316517","Numeric"
"_316533","Categorical"
"_316548","Categorical"
"_316549","Categorical"
"_316644","Categorical"
"_316649","Categorical"
"_316650","Categorical"
"_316653","Categorical"
"_316654","Categorical"
"_316655","Categorical"
"_316657","Categorical"
"_316743","Categorical"
"_316744","Categorical"
"_316745","Categorical"
"_316746","Categorical"
"_316852","Categorical"
"_316853","Categorical"
"_316854","Categorical"
"_316855","Categorical"
"_316862","Categorical"
"_316863","Categorical"
"_316910","Numeric"
"_316916","Categorical"
"_316946","Numeric"
"_317127","Numeric"
"_317129","Numeric"
"_317130","Categorical"
"_317131","Categorical"
"_317301","Numeric"
"_317461","Categorical"
"_317462","Categorical"
"_317629","Numeric"
"_317630","Numeric"
"_317631","Categorical"
"_317642","Numeric"
"_317646","Numeric"
"_317787","Categorical"
"_317789","Numeric"
"_318247","Categorical"
"_318270","Numeric"
"_318272","Numeric"
"_318273","Numeric"
"_318324","Categorical"
"_318325","Categorical"
"_318367","Numeric"
"_318368","Numeric"
"_318450","Categorical"
"_318451","Numeric"
"_318454","Numeric"
"_318455","Numeric"
"_318456","Categorical"
"_318949","Categorical"
"_319049","Categorical"
"_319152","Categorical"
"_319275","Numeric"
"_319305","Numeric"
"_319868","Categorical"
"_320187","Numeric"
"_320268","Categorical"
"_321048","Numeric"
"_321051","Numeric"
"_321052","Numeric"
"_321053","Numeric"
"_321054","Numeric"
"_321055","Numeric"
"_321057","Numeric"
"_321062","Numeric"
"_321065","Categorical"
"_321067","Categorical"
"_321068","Numeric"
"_321069","Numeric"
"_321071","Numeric"
"_321073","Numeric"
"_321079","Numeric"
"_321080","Numeric"
"_321083","Numeric"
"_321118","Numeric"
"_321125","Numeric"
"_321299","Numeric"
"_321558","Categorical"
"_321559","Numeric"
"_321681","Categorical"
"_321795","Numeric"
"_324226","Numeric"
"_324525","Numeric"
"_325288","Categorical"
"_325289","Categorical"
"_325382","Categorical"
"_327118","Numeric"
"_327125","Numeric"
"_327229","Categorical"
"_327705","Numeric"
"_327706","Numeric"
"_328159","Numeric"
"_328573","Categorical"
"_328574","Numeric"
"_328780","Numeric"
"_328781","Numeric"
"_329004","Categorical"
"_329005","Categorical"
"_329006","Categorical"
"_329794","Numeric"
"_329795","Numeric"
"_329803","Categorical"
"_330005","Numeric"
"_330006","Numeric"
"_334454","Numeric"
"_334920","Categorical"
"_334921","Categorical"
"_335081","Categorical"
"_335304","Numeric"
"_337027","Categorical"
"_339014","Categorical"
"_339020","Numeric"
"_339023","Categorical"
"_339024","Categorical"
"_339025","Categorical"
"_339027","Categorical"
"_339030","Categorical"
"_339032","Categorical"
"_341062","Categorical"
"_341063","Numeric"
"_345332","Numeric"
"_355403","Categorical"
"_355405","Numeric"
"_355414","Categorical"
"_355434","Categorical"
"_355435","Categorical"
"_355444","Categorical"
"_355459","Numeric"
"_355460","Numeric"
"_355461","Numeric"
"_355464","Categorical"
"_355465","Categorical"
"_355466","Categorical"
"_355467","Categorical"
"_357523","Categorical"
"_357526","Categorical"
"_357543","Categorical"
"_357571","Categorical"
"_357616","Categorical"
"_357627","Categorical"
"_357629","Categorical"
"_357665","Categorical"
"_366695","Numeric"
"_366699","Categorical"
"_366817","Numeric"
"_383366","Categorical"
"_386467","Categorical"
"_387216","Categorical"
"_387346","Categorical"
"_389320","Categorical"
"_390056","Categorical"
"_390849","Categorical"
"_390850","Categorical"
"_390851","Categorical"
"_390852","Categorical"
"_390853","Categorical"
"_390854","Categorical"
"_390858","Numeric"
"_392026","Categorical"
"_392027","Categorical"
"_392028","Categorical"
"_392029","Categorical"
"_392030","Numeric"
"_392031","Categorical"
"_392032","Categorical"
"_392525","Numeric"
"_393673","Categorical"
"_393677","Categorical"
"_446360","Numeric"
"_450671","Categorical"
"_451333","Numeric"
"_453643","Numeric"
"_456303","Categorical"
"_456304","Categorical"
"_458040","Numeric"
"_458543","Numeric"
"_465044","Categorical"
"_466909","Numeric + Categorical"
"_469080","Numeric"
"_469081","Numeric"
"_469082","Numeric"
"_469083","Numeric"
"_469084","Numeric"
"_469085","Numeric"
"_469105","Numeric"
"_469106","Numeric"
"_469107","Numeric"
"_469108","Numeric"
"_469109","Numeric"
"_469110","Numeric"
"_470656","Categorical"
"_470682","Numeric"
"_471319","Categorical"
"_484130","Categorical"
"_487207","Numeric"
"_487208","Numeric"
"_487209","Numeric"
"_487210","Numeric"
"_487211","Numeric"
"_487212","Numeric"
"_487213","Numeric"
"_487214","Numeric"
"_487216","Numeric"
"_487217","Numeric"
"_490876","Numeric"
"_490878","Numeric"
"_490879","Numeric"
"_490880","Numeric"
"_490881","Numeric"
"_490882","Numeric"
"_490883","Numeric"
"_490884","Numeric"
"_490885","Numeric"
"_490886","Numeric"
"_491875","Numeric"
"_491876","Categorical"
"_491884","Numeric"
"_491885","Categorical"
"_491887","Categorical"
"_494933","Categorical"
"_496432","Numeric"
"_503081","Categorical"
"_503085","Categorical"
"_503088","Categorical"
"_504381","Categorical"
"_505044","Categorical"
"_505046","Categorical"
"_505402","Numeric"
"_505403","Numeric"
"_510411","Numeric"
"_513023","Numeric"
"_514337","Numeric"
"_514918","Categorical"
"_515443","Numeric"
"_515444","Numeric"
"_515445","Numeric"
"_515446","Numeric"
"_515447","Numeric"
"_515448","Numeric"
"_518236","Numeric"
"_518238","Numeric"
"_520445","Numeric"
"_520447","Categorical"
"_521868","Numeric"
"_521870","Categorical"
"_521871","Categorical"
"_521872","Categorical"
"_521873","Categorical"
"_521874","Categorical"
"_521875","Numeric"
"_521877","Numeric"
"_521878","Numeric"
"_521879","Numeric"
"_521880","Categorical"
"_521881","Categorical"
"_521882","Categorical"
"_526336","Numeric"
"_535605","Numeric"
"_535606","Numeric"
"_535607","Numeric"
"_535609","Numeric"
"_535610","Numeric"
"_535611","Numeric"
"_535612","Numeric"
"_535613","Numeric"
"_535614","Numeric"
"_535616","Numeric"
"_535617","Numeric"
"_535618","Numeric"
"_535619","Numeric"
"_535620","Numeric"
"_535621","Numeric"
"_535622","Numeric"
"_535623","Numeric"
"_535624","Numeric"
"_535625","Numeric"
"_535626","Numeric"
"_535627","Numeric"
"_535628","Numeric"
"_535629","Numeric"
"_535630","Numeric"
"_535631","Numeric"
"_535632","Numeric"
"_535633","Numeric"
"_535634","Numeric"
"_535636","Numeric"
"_535637","Numeric"
"_535638","Numeric"
"_535639","Numeric"
"_535641","Numeric"
"_535642","Numeric"
"_535644","Numeric"
"_535645","Numeric"
"_654071","Numeric"
"_654072","Numeric"
"_654073","Numeric"
"_654075","Numeric"
"_655634","Numeric"
"_662228","Categorical"
"_666387","Categorical"
"_666388","Numeric"
"_666968","Numeric"
"_667597","Categorical"
"_668123","Numeric"
"_668125","Categorical"
"_668126","Categorical"
"_668127","Categorical"
"_668128","Numeric"
"_668129","Categorical"
"_668130","Numeric"
"_668131","Categorical"
"_668132","Numeric"
"_668133","Numeric"
"_668135","Numeric"
"_668137","Categorical"
"_672573","Categorical"
"_672574","Categorical"
"_672575","Categorical"
"_672576","Categorical"
"_672578","Numeric"
"_672579","Numeric"
"_673731","Numeric"
"_674330","Categorical"
"_674331","Numeric"
"_674332","Numeric"
"_674333","Numeric"
"_674334","Numeric"
"_674335","Numeric"
"_674336","Categorical"
"_676545","Numeric"
"_676546","Numeric"
"_685863","Numeric"
"_686397","Categorical"
"_689436","Categorical"
"_690305","Numeric"
"_690993","Categorical"
