variable_name,value_type
154557_route,Categorical
154558_dose,Numeric
154558_route,Categorical
154560_dose,Numeric
154560_route,Categorical
154562_dose,Numeric
154562_route,Categorical
154563_dose,Numeric
154563_route,Categorical
154564_dose,Numeric
154564_route,Categorical
154567_dose,Numeric
154567_route,Categorical
154568_dose,Numeric
154568_route,Categorical
154569_dose,Numeric
154569_route,Categorical
154570_dose,Numeric
154570_route,Categorical
154574_dose,Numeric
154574_route,Categorical
154579_dose,Numeric
154579_route,Categorical
154582_dose,Numeric
154582_route,Categorical
154583_dose,Numeric
154583_route,Categorical
154584_dose,Numeric
154584_route,Categorical
154585_dose,Numeric
154585_route,Categorical
154587_dose,Numeric
154587_route,Categorical
154592_dose,Numeric
154592_route,Categorical
154593_dose,Numeric
154593_route,Categorical
154596_dose,Numeric
154596_route,Categorical
154597_dose,Numeric
154597_route,Categorical
154598_dose,Numeric
154598_route,Categorical
154600_dose,Numeric
154600_route,Categorical
154601_dose,Numeric
154601_route,Categorical
154602_dose,Numeric
154602_route,Categorical
154603_dose,Numeric
154603_route,Categorical
154606_dose,Numeric
154606_route,Categorical
154608_dose,Numeric
154608_route,Categorical
154609_dose,Numeric
154609_route,Categorical
154612_dose,Numeric
154612_route,Categorical
154613_dose,Numeric
154613_route,Categorical
154614_dose,Numeric
154614_route,Categorical
154615_dose,Numeric
154615_route,Categorical
154618_dose,Numeric
154618_route,Categorical
154622_dose,Numeric
154622_route,Categorical
154625_dose,Numeric
154625_route,Categorical
154626_dose,Numeric
154626_route,Categorical
154628_dose,Numeric
154628_route,Categorical
154632_dose,Numeric
154632_route,Categorical
154633_dose,Numeric
154633_route,Categorical
154640_dose,Numeric
154640_route,Categorical
154648_dose,Numeric
154648_route,Categorical
154650_dose,Numeric
154650_route,Categorical
154654_dose,Numeric
154654_route,Categorical
154656_dose,Numeric
154656_route,Categorical
154657_dose,Numeric
154657_route,Categorical
154658_dose,Numeric
154658_route,Categorical
154660_dose,Numeric
154660_route,Categorical
154662_dose,Numeric
154662_route,Categorical
154665_dose,Numeric
154665_route,Categorical
154666_dose,Numeric
154666_route,Categorical
154668_dose,Numeric
154668_route,Categorical
154670_dose,Numeric
154670_route,Categorical
154674_dose,Numeric
154674_route,Categorical
154675_dose,Numeric
154675_route,Categorical
154676_dose,Numeric
154676_route,Categorical
154679_dose,Numeric
154679_route,Categorical
154681_dose,Numeric
154681_route,Categorical
154683_dose,Numeric
154683_route,Categorical
154684_dose,Numeric
154684_route,Categorical
154685_dose,Numeric
154685_route,Categorical
154688_dose,Numeric
154688_route,Categorical
154692_dose,Numeric
154692_route,Categorical
154694_dose,Numeric
154694_route,Categorical
154695_dose,Numeric
154695_route,Categorical
154696_dose,Numeric
154696_route,Categorical
154698_dose,Numeric
154698_route,Categorical
154700_dose,Numeric
154700_route,Categorical
154703_dose,Numeric
154703_route,Categorical
154705_dose,Numeric
154705_route,Categorical
154707_dose,Numeric
154707_route,Categorical
154710_dose,Numeric
154710_route,Categorical
154711_dose,Numeric
154711_route,Categorical
154714_dose,Numeric
154714_route,Categorical
154717_dose,Numeric
154717_route,Categorical
154720_dose,Numeric
154720_route,Categorical
154722_dose,Numeric
154722_route,Categorical
154723_dose,Numeric
154723_route,Categorical
154724_dose,Numeric
154724_route,Categorical
154725_dose,Numeric
154725_route,Categorical
154726_dose,Numeric
154726_route,Categorical
154728_dose,Numeric
154728_route,Categorical
154729_dose,Numeric
154729_route,Categorical
154730_dose,Numeric
154730_route,Categorical
154731_dose,Numeric
154731_route,Categorical
154735_dose,Numeric
154735_route,Categorical
154741_dose,Numeric
154741_route,Categorical
154742_dose,Numeric
154742_route,Categorical
154744_dose,Numeric
154744_route,Categorical
154746_dose,Numeric
154746_route,Categorical
154748_dose,Numeric
154748_route,Categorical
154757_dose,Numeric
154757_route,Categorical
154761_dose,Numeric
154761_route,Categorical
154762_dose,Numeric
154762_route,Categorical
154763_dose,Numeric
154763_route,Categorical
154765_dose,Numeric
154765_route,Categorical
154766_dose,Numeric
154766_route,Categorical
154768_dose,Numeric
154768_route,Categorical
154769_dose,Numeric
154769_route,Categorical
154772_dose,Numeric
154772_route,Categorical
154774_dose,Numeric
154774_route,Categorical
154776_dose,Numeric
154776_route,Categorical
154777_dose,Numeric
154777_route,Categorical
154783_dose,Numeric
154783_route,Categorical
154785_dose,Numeric
154785_route,Categorical
154786_dose,Numeric
154786_route,Categorical
154789_dose,Numeric
154789_route,Categorical
154791_dose,Numeric
154791_route,Categorical
154798_dose,Numeric
154798_route,Categorical
154806_dose,Numeric
154806_route,Categorical
154807_dose,Numeric
154807_route,Categorical
154809_dose,Numeric
154809_route,Categorical
154810_dose,Numeric
154810_route,Categorical
154811_dose,Numeric
154811_route,Categorical
154815_dose,Numeric
154815_route,Categorical
154817_dose,Numeric
154817_route,Categorical
154818_dose,Numeric
154818_route,Categorical
154819_dose,Numeric
154819_route,Categorical
154820_dose,Numeric
154820_route,Categorical
154821_dose,Numeric
154821_route,Categorical
154822_dose,Numeric
154822_route,Categorical
154823_dose,Numeric
154823_route,Categorical
154825_dose,Numeric
154825_route,Categorical
154826_dose,Numeric
154826_route,Categorical
154827_dose,Numeric
154827_route,Categorical
154828_dose,Numeric
154828_route,Categorical
154831_dose,Numeric
154831_route,Categorical
154832_dose,Numeric
154832_route,Categorical
154833_dose,Numeric
154833_route,Categorical
154834_dose,Numeric
154834_route,Categorical
154837_dose,Numeric
154837_route,Categorical
154838_dose,Numeric
154838_route,Categorical
154841_dose,Numeric
154841_route,Categorical
154842_dose,Numeric
154842_route,Categorical
154843_dose,Numeric
154843_route,Categorical
154845_dose,Numeric
154845_route,Categorical
154846_dose,Numeric
154846_route,Categorical
154848_dose,Numeric
154848_route,Categorical
154849_dose,Numeric
154849_route,Categorical
154851_dose,Numeric
154851_route,Categorical
154853_dose,Numeric
154853_route,Categorical
154856_dose,Numeric
154856_route,Categorical
154864_dose,Numeric
154864_route,Categorical
154865_dose,Numeric
154865_route,Categorical
154868_dose,Numeric
154868_route,Categorical
154870_dose,Numeric
154870_route,Categorical
154871_dose,Numeric
154871_route,Categorical
154874_dose,Numeric
154874_route,Categorical
154875_dose,Numeric
154875_route,Categorical
154876_dose,Numeric
154876_route,Categorical
154877_dose,Numeric
154877_route,Categorical
154878_dose,Numeric
154878_route,Categorical
154880_dose,Numeric
154880_route,Categorical
154882_dose,Numeric
154882_route,Categorical
154883_dose,Numeric
154883_route,Categorical
154885_dose,Numeric
154885_route,Categorical
154890_dose,Numeric
154890_route,Categorical
154893_dose,Numeric
154893_route,Categorical
154897_dose,Numeric
154897_route,Categorical
154899_dose,Numeric
154899_route,Categorical
154901_dose,Numeric
154901_route,Categorical
154902_dose,Numeric
154902_route,Categorical
154910_dose,Numeric
154910_route,Categorical
154914_dose,Numeric
154914_route,Categorical
154915_dose,Numeric
154915_route,Categorical
154918_dose,Numeric
154918_route,Categorical
154920_dose,Numeric
154920_route,Categorical
154922_dose,Numeric
154922_route,Categorical
154923_dose,Numeric
154923_route,Categorical
154925_dose,Numeric
154925_route,Categorical
154930_dose,Numeric
154930_route,Categorical
154934_dose,Numeric
154934_route,Categorical
154936_dose,Numeric
154936_route,Categorical
154937_dose,Numeric
154937_route,Categorical
154940_dose,Numeric
154940_route,Categorical
154941_dose,Numeric
154941_route,Categorical
154943_dose,Numeric
154943_route,Categorical
154944_dose,Numeric
154944_route,Categorical
154945_dose,Numeric
154945_route,Categorical
154946_dose,Numeric
154946_route,Categorical
154947_dose,Numeric
154947_route,Categorical
154948_dose,Numeric
154948_route,Categorical
154950_dose,Numeric
154950_route,Categorical
154951_dose,Numeric
154951_route,Categorical
154952_dose,Numeric
154952_route,Categorical
154954_dose,Numeric
154954_route,Categorical
154958_dose,Numeric
154958_route,Categorical
154964_dose,Numeric
154964_route,Categorical
154965_dose,Numeric
154965_route,Categorical
154969_dose,Numeric
154969_route,Categorical
154970_dose,Numeric
154970_route,Categorical
154971_dose,Numeric
154971_route,Categorical
154975_dose,Numeric
154975_route,Categorical
154979_dose,Numeric
154979_route,Categorical
154982_dose,Numeric
154982_route,Categorical
154983_dose,Numeric
154983_route,Categorical
154987_dose,Numeric
154987_route,Categorical
154993_dose,Numeric
154993_route,Categorical
154996_dose,Numeric
154996_route,Categorical
155003_dose,Numeric
155003_route,Categorical
155006_dose,Numeric
155006_route,Categorical
155011_dose,Numeric
155011_route,Categorical
155012_dose,Numeric
155012_route,Categorical
155014_dose,Numeric
155014_route,Categorical
155015_dose,Numeric
155015_route,Categorical
155021_dose,Numeric
155021_route,Categorical
155022_dose,Numeric
155022_route,Categorical
155023_dose,Numeric
155023_route,Categorical
155024_dose,Numeric
155024_route,Categorical
155031_dose,Numeric
155031_route,Categorical
155032_dose,Numeric
155032_route,Categorical
155041_dose,Numeric
155041_route,Categorical
155042_dose,Numeric
155042_route,Categorical
155043_dose,Numeric
155043_route,Categorical
155045_dose,Numeric
